State,City
PUNJAB,Abohar 
MAHARASHTRA,Achalpur 
ANDHRA PRADESH,Adilabad 
JHARKHAND,Adityapur 
ANDHRA PRADESH,Adoni 
TRIPURA,Agartala 
UTTAR PRADESH,Agra 
GUJARAT,Ahmadabad 
MAHARASHTRA,Ahmadnagar 
MIZORAM,Aizawl 
RAJASTHAN,Ajmer 
UTTAR PRADESH,Akbarpur 
MAHARASHTRA,Akola 
TAMIL NADU,Alandur 
KERALA,Alappuzha 
UTTAR PRADESH,Aligarh 
UTTAR PRADESH,Allahabad 
RAJASTHAN,Alwar 
HARYANA,Ambala 
HARYANA,Ambala Sadar 
MAHARASHTRA,Ambarnath 
TAMIL NADU,Ambattur 
CHHATTISGARH,Ambikapur 
TAMIL NADU,Ambur 
MAHARASHTRA,Amravati 
GUJARAT,Amreli 
PUNJAB,Amritsar 
UTTAR PRADESH,Amroha 
GUJARAT,Anand 
ANDHRA PRADESH,Anantapur 
JAMMU & KASHMIR,Anantnag 
BIHAR,Arrah 
WEST BENGAL,Asansol 
WEST BENGAL,Ashoknagar Kalyangarh 
BIHAR,Aurangabad 
MAHARASHTRA,Aurangabad 
TAMIL NADU,Avadi 
UTTAR PRADESH,Azamgarh 
MAHARASHTRA,Badlapur 
BIHAR,Bagaha 
KARNATAKA,Bagalkot 
HARYANA,Bahadurgarh 
WEST BENGAL,Baharampur 
UTTAR PRADESH,Bahraich 
WEST BENGAL,Baidyabati 
ORISSA,Baleshwar Town 
UTTAR PRADESH,Ballia 
WEST BENGAL,Bally 
WEST BENGAL,Bally City
WEST BENGAL,Balurghat 
UTTAR PRADESH,Banda 
WEST BENGAL,Bankura 
WEST BENGAL,Bansberia 
RAJASTHAN,Banswara 
RAJASTHAN,Baran 
WEST BENGAL,Baranagar 
WEST BENGAL,Barasat 
UTTAR PRADESH,Baraut 
WEST BENGAL,Barddhaman 
UTTAR PRADESH,Bareilly 
ORISSA,Baripada Town 
PUNJAB,Barnala 
WEST BENGAL,Barrackpur 
MAHARASHTRA,Barshi 
WEST BENGAL,Basirhat 
UTTAR PRADESH,Basti 
PUNJAB,Batala 
PUNJAB,Bathinda 
RAJASTHAN,Beawar 
BIHAR,Begusarai 
KARNATAKA,Belgaum 
KARNATAKA,Bellary 
KARNATAKA,Bengaluru
BIHAR,Bettiah 
MADHYA PRADESH,Betul 
ORISSA,Bhadrak 
KARNATAKA,Bhadravati 
WEST BENGAL,Bhadreswar 
BIHAR,Bhagalpur 
NCT OF DELHI,Bhalswa Jahangir Pur 
RAJASTHAN,Bharatpur 
GUJARAT,Bharuch 
WEST BENGAL,Bhatpara 
GUJARAT,Bhavnagar 
CHHATTISGARH,Bhilai Nagar 
RAJASTHAN,Bhilwara 
ANDHRA PRADESH,Bhimavaram 
MADHYA PRADESH,Bhind 
RAJASTHAN,Bhiwadi 
MAHARASHTRA,Bhiwandi 
HARYANA,Bhiwani 
MADHYA PRADESH,Bhopal 
ORISSA,Bhubaneswar Town 
GUJARAT,Bhuj 
MAHARASHTRA,Bhusawal 
MAHARASHTRA,Bid 
KARNATAKA,Bidar 
WEST BENGAL,Bidhan Nagar 
BIHAR,Biharsharif 
KARNATAKA,Bijapur 
RAJASTHAN,Bikaner 
CHHATTISGARH,Bilaspur 
JHARKHAND,Bokaro Steel City 
WEST BENGAL,Bongaon 
GUJARAT,Botad 
ORISSA,Brahmapur Town 
UTTAR PRADESH,Budaun 
UTTAR PRADESH,Bulandshahr 
RAJASTHAN,Bundi 
NCT OF DELHI,Burari 
MADHYA PRADESH,Burhanpur 
BIHAR,Buxar 
WEST BENGAL,Champdani 
WEST BENGAL,Chandannagar 
UTTAR PRADESH,Chandausi 
CHANDIGARH,Chandigarh 
MAHARASHTRA,Chandrapur 
BIHAR,Chapra 
JHARKHAND,Chas 
TAMIL NADU,Chennai 
MADHYA PRADESH,Chhattarpur 
MADHYA PRADESH,Chhindwara 
KARNATAKA,Chikmagalur 
ANDHRA PRADESH,Chilakaluripet 
KARNATAKA,Chitradurga 
RAJASTHAN,Chittaurgarh 
ANDHRA PRADESH,Chittoor 
RAJASTHAN,Churu 
TAMIL NADU,Coimbatore 
TAMIL NADU,Cuddalore 
ORISSA,Cuttack 
WEST BENGAL,Dabgram 
NCT OF DELHI,Dallo Pura 
MADHYA PRADESH,Damoh 
BIHAR,Darbhanga 
WEST BENGAL,Darjiling 
MADHYA PRADESH,Datia 
KARNATAKA,Davanagere 
GUJARAT,Deesa 
UTTARAKHAND,Dehradun 
BIHAR,Dehri 
NCT OF DELHI,Delhi 
NCT OF DELHI,Delhi Cantonment 
JHARKHAND,Deoghar 
NCT OF DELHI,Deoli 
UTTAR PRADESH,Deoria 
MADHYA PRADESH,Dewas 
JHARKHAND,Dhanbad 
ANDHRA PRADESH,Dharmavaram 
RAJASTHAN,Dhaulpur 
MAHARASHTRA,Dhule 
ASSAM,Dibrugarh 
NAGALAND,Dimapur 
BIHAR,Dinapur Nizamat 
TAMIL NADU,Dindigul 
WEST BENGAL,Dum Dum 
CHHATTISGARH,Durg 
WEST BENGAL,Durgapur 
ANDHRA PRADESH,Eluru 
WEST BENGAL,English Bazar 
TAMIL NADU,Erode 
UTTAR PRADESH,Etah 
UTTAR PRADESH,Etawah 
UTTAR PRADESH,Faizabad 
HARYANA,Faridabad 
UTTAR PRADESH,Farrukhabad-cum-Fatehgarh 
UTTAR PRADESH,Fatehpur 
UTTAR PRADESH,Firozabad 
PUNJAB,Firozpur 
KARNATAKA,Gadag-Betigeri 
GUJARAT,Gandhidham 
GUJARAT,Gandhinagar 
RAJASTHAN,Ganganagar 
RAJASTHAN,Gangapur City 
KARNATAKA,Gangawati 
BIHAR,Gaya 
UTTAR PRADESH,Ghazipur 
JHARKHAND,Giridih 
GUJARAT,Godhra 
NCT OF DELHI,Gokal Pur 
UTTAR PRADESH,Gonda 
GUJARAT,Gondal 
MAHARASHTRA,Gondiya 
UTTAR PRADESH,Gorakhpur 
ANDHRA PRADESH,Greater Hyderabad 
MAHARASHTRA,Greater Mumbai 
UTTAR PRADESH,Greater Noida 
ANDHRA PRADESH,Gudivada 
KARNATAKA,Gulbarga 
MADHYA PRADESH,Guna 
ANDHRA PRADESH,Guntakal 
ANDHRA PRADESH,Guntur 
HARYANA,Gurgaon 
ASSAM,Guwahati 
MADHYA PRADESH,Gwalior 
WEST BENGAL,Habra 
BIHAR,Hajipur 
WEST BENGAL,Haldia 
UTTARAKHAND,Haldwani-cum-Kathgodam 
WEST BENGAL,Halisahar 
RAJASTHAN,Hanumangarh 
WEST BENGAL,Haora 
UTTAR PRADESH,Hapur 
UTTAR PRADESH,Hardoi 
UTTARAKHAND,Hardwar 
KARNATAKA,Hassan 
NCT OF DELHI,Hastsal 
UTTAR PRADESH,Hathras 
JHARKHAND,Hazaribag 
RAJASTHAN,Hindaun 
ANDHRA PRADESH,Hindupur 
MAHARASHTRA,Hinganghat 
HARYANA,Hisar 
MADHYA PRADESH,Hoshangabad 
PUNJAB,Hoshiarpur 
KARNATAKA,Hospet 
TAMIL NADU,Hosur 
KARNATAKA,Hubli-Dharwad 
WEST BENGAL,Hugli-Chinsurah 
MAHARASHTRA,Ichalkaranji 
MANIPUR ,Imphal 
MADHYA PRADESH,Indore 
MADHYA PRADESH,Jabalpur 
HARYANA,Jagadhri 
CHHATTISGARH,Jagdalpur 
RAJASTHAN,Jaipur 
PUNJAB,Jalandhar 
MAHARASHTRA,Jalgaon 
MAHARASHTRA,Jalna 
WEST BENGAL,Jalpaiguri 
BIHAR,Jamalpur 
JAMMU & KASHMIR,Jammu 
GUJARAT,Jamnagar 
JHARKHAND,Jamshedpur 
WEST BENGAL,Jamuria 
UTTAR PRADESH,Jaunpur 
BIHAR,Jehanabad 
GUJARAT,Jetpur Navagadh 
UTTAR PRADESH,Jhansi 
RAJASTHAN,Jhunjhunun 
HARYANA,Jind 
RAJASTHAN,Jodhpur 
GUJARAT,Junagadh 
ANDHRA PRADESH,Kadapa 
HARYANA,Kaithal 
ANDHRA PRADESH,Kakinada 
GUJARAT,Kalol 
WEST BENGAL,Kalyani 
WEST BENGAL,Kamarhati 
TAMIL NADU,Kancheepuram 
WEST BENGAL,Kanchrapara 
UTTAR PRADESH,Kanpur 
UTTAR PRADESH,Kanpur City
TAMIL NADU,Karaikkudi 
NCT OF DELHI,Karawal Nagar 
ANDHRA PRADESH,Karimnagar 
HARYANA,Karnal 
UTTAR PRADESH,Kasganj 
UTTARAKHAND,Kashipur 
BIHAR,Katihar 
ANDHRA PRADESH,Khammam 
MADHYA PRADESH,Khandwa 
PUNJAB,Khanna 
WEST BENGAL,Kharagpur 
WEST BENGAL,Khardaha 
MADHYA PRADESH,Khargone 
UTTAR PRADESH,Khora 
UTTAR PRADESH,Khurja 
NCT OF DELHI,Kirari Suleman Nagar 
BIHAR,Kishanganj 
RAJASTHAN,Kishangarh 
KERALA,Kochi 
KARNATAKA,Kolar 
MAHARASHTRA,Kolhapur 
WEST BENGAL,Kolkata 
KERALA,Kollam 
CHHATTISGARH,Korba 
RAJASTHAN,Kota 
KERALA,Kozhikode 
WEST BENGAL,Krishnanagar 
WEST BENGAL,Kulti 
TAMIL NADU,Kumbakonam 
TAMIL NADU,Kurichi 
ANDHRA PRADESH,Kurnool 
UTTAR PRADESH,Lakhimpur 
UTTAR PRADESH,Lalitpur 
MAHARASHTRA,Latur 
UTTAR PRADESH,Loni 
UTTAR PRADESH,Lucknow 
PUNJAB,Ludhiana 
ANDHRA PRADESH,Machilipatnam 
ANDHRA PRADESH,Madanapalle 
TAMIL NADU,Madavaram 
WEST BENGAL,Madhyamgram 
TAMIL NADU,Madurai 
ANDHRA PRADESH,Mahbubnagar 
GUJARAT,Mahesana 
WEST BENGAL,Maheshtala 
UTTAR PRADESH,Mainpuri 
MAHARASHTRA,Malegaon 
PUNJAB,Malerkotla 
NCT OF DELHI,Mandoli 
MADHYA PRADESH,Mandsaur 
KARNATAKA,Mandya 
KARNATAKA,Mangalore 
JHARKHAND,Mango 
UTTAR PRADESH,Mathura 
UTTAR PRADESH,Maunath Bhanjan 
WEST BENGAL,Medinipur 
UTTAR PRADESH,Meerut 
MAHARASHTRA,Mira Bhayander 
ANDHRA PRADESH,Miryalaguda 
UTTAR PRADESH,Mirzapur-cum-Vindhyachal 
UTTAR PRADESH,Modinagar 
PUNJAB,Moga 
UTTAR PRADESH,Moradabad 
MADHYA PRADESH,Morena 
GUJARAT,Morvi 
BIHAR,Motihari 
UTTAR PRADESH,Mughalsarai 
PUNJAB,Muktsar 
BIHAR,Munger 
MADHYA PRADESH,Murwara 
NCT OF DELHI,Mustafabad 
UTTAR PRADESH,Muzaffarnagar 
BIHAR,Muzaffarpur 
KARNATAKA,Mysore 
WEST BENGAL,Nabadwip 
GUJARAT,Nadiad 
ASSAM,Nagaon 
TAMIL NADU,Nagapattinam 
RAJASTHAN,Nagaur 
MADHYA PRADESH,Nagda 
TAMIL NADU,Nagercoil 
MAHARASHTRA,Nagpur 
WEST BENGAL,Naihati 
ANDHRA PRADESH,Nalgonda 
MAHARASHTRA,Nanded Waghala 
MAHARASHTRA,Nandurbar 
